ID,MentionedID,MentionedHandle
612815277,798747864,AlenaBacalia
612815277,354590068,hfholden34
612815277,401111769,MarilynYousif
612815277,35581752,heeeeyerin
612815277,1591956090,DogeTheDog
612815277,27356974,MrJeffJ
612815277,378734536,LindsayGorncy
612815277,30008146,tigers
490791079,598687723,King_Nicholas_
490791079,1387996322,6vodka9
490791079,113985524,may_xoxo
490791079,507951741,bellaaachel
490791079,2784630375,iStrokeBlasians
490791079,39339415,TuswaniCopeland
490791079,495605654,LordSavageCuh
490791079,538534091,JulianIsOG
490791079,71128189,UBlitzIBlock
264416315,891701419,FxckCasey
264416315,200103141,TheSexualGifs
264416315,2152976973,ewwalexissss
264416315,244321682,iKeepItTooReal
264416315,521739813,_Bachiii
264416315,314022225,Parisbiggs
264416315,456197420,LeosWeAre
264416315,397783862,_Smoke2MyHigh
264416315,456197420,LeosWeAre
264416315,881169121,ImNeverChillin
264416315,1648125986,AutoWorId
264416315,456436889,green_randy1598
264416315,2421284818,Miss_EmilyAnne
264416315,456197420,LeosWeAre
264416315,59244808,Briana_ItsMeee_
264416315,456197420,LeosWeAre
271608323,632197744,xKeelo_Ows
271608323,379318088,WealthyWaites
271608323,266175033,BEACHBOY_MILES
271608323,266175033,BEACHBOY_MILES
271608323,266175033,BEACHBOY_MILES
271608323,266175033,BEACHBOY_MILES
271608323,2761035431,semaj_oo
224078321,570202211,KINGSHITMAYNE
224078321,1870223119,HiveBestHumor
224078321,390973424,Topaz_Kid
224078321,936241338,iAmReallyChris
224078321,118310849,vinit_mittal
224078321,20567939,MeekMill
224078321,2370687246,MeganFoxNYC
224078321,1268315965,L_Bailey99
314345007,2319408219,B3rries_
314345007,340475669,xBeautyMarkedx
314345007,314345007,Miss_PaigeLynn
314345007,2319408219,B3rries_
314345007,2319408219,B3rries_
314345007,2319408219,B3rries_
314345007,340475669,xBeautyMarkedx
314345007,48811681,niinerr
314345007,2319408219,B3rries_
314345007,340475669,xBeautyMarkedx
314345007,1481073828,TypicalMinions
498443919,348741459,ChuckDeal8
498443919,348741459,ChuckDeal8
498443919,348741459,ChuckDeal8
498443919,348741459,ChuckDeal8
498443919,348741459,ChuckDeal8
498443919,176322093,mdardenn5
498443919,1370986902,WORIDSTARHlPHOP
498443919,362024817,casey_waldor
498443919,362024817,casey_waldor
498443919,362024817,casey_waldor
498443919,362024817,casey_waldor
498443919,185018161,MyBigSexy
498443919,362024817,casey_waldor
498443919,362024817,casey_waldor
249775709,221568345,jenhudec
249775709,337456136,chrismirsalimi
249775709,174904150,al_gaff
249775709,175943109,a_pec
249775709,174904150,al_gaff
247434515,1547399790,FenkellDario_
247434515,103795407,PuritanMarv
247434515,1223522065,PmeetB_
247434515,1223522065,PmeetB_
247434515,1223522065,PmeetB_
247434515,362313336,7mile_LilQues
247434515,58386889,aaalivi
247434515,58386889,aaalivi
247434515,58386889,aaalivi
247434515,180120577,KenzyLou__
247434515,2649199620,JaidaAkera
247434515,1492672242,BlakeJE_M
400908342,238192065,QuayNookie13
400908342,211301015,i_DeeKay
400908342,166378069,kita221oh9
400908342,238192065,QuayNookie13
400908342,320548080,_SlimBae
400908342,523529213,Kiy_Flawless
400908342,320548080,_SlimBae
304795450,271219664,VirgoNation
304795450,424881680,MinnieMO_use
304795450,256102016,BlameBigga_
304795450,271219664,VirgoNation
304795450,17878322,cthagod
269839050,2583376541,daddyajay_
269839050,2583376541,daddyajay_
269839050,269839050,Poetic_beauty17
269839050,2583376541,daddyajay_
269839050,19720440,Snapple
269839050,367026163,jaylynnbabe21
269839050,367026163,jaylynnbabe21
269839050,367026163,jaylynnbabe21
269839050,269839050,Poetic_beauty17
269839050,367026163,jaylynnbabe21
269839050,367026163,jaylynnbabe21
269839050,269397278,RichgirlNae
269839050,269397278,RichgirlNae
269839050,269397278,RichgirlNae
269839050,269839050,Poetic_beauty17
269839050,181794692,iiHeart_Fashion
269839050,269397278,RichgirlNae
269839050,269839050,Poetic_beauty17
269839050,269397278,RichgirlNae
269839050,181794692,iiHeart_Fashion
2246180454,307925151,KetouraWilliams
2246180454,2246180454,Lauraw0rld_
2246180454,2698048655,inourt4i
2246180454,2246180454,Lauraw0rld_
2246180454,273058447,PrincessLiyah_
2246180454,2246180454,Lauraw0rld_
2246180454,273058447,PrincessLiyah_
2246180454,1210260283,dreagarciaa
2246180454,149944311,Nessabm11
2246180454,1698213277,Brandan420_
2246180454,420662919,Dee_ToNice
2246180454,420662919,Dee_ToNice
2246180454,420662919,Dee_ToNice
2246180454,2246180454,Lauraw0rld_
2246180454,420662919,Dee_ToNice
2246180454,420662919,Dee_ToNice
2246180454,2246180454,Lauraw0rld_
2246180454,55426212,_ObeyMyya
607361835,59253098,loveJKC_
607361835,343016738,x_thatsHER
607361835,1613146542,iamc_crawford
607361835,1918074270,Vivakors
607361835,65199623,_xImJustRiah
607361835,338923772,mayasvritaa
607361835,607517406,iSwagg_Ty
607361835,48408647,xo_cocoo
607361835,1362987313,JustKyreek
607361835,2297976077,____Queenkat
607361835,116967626,ElijahCain_
607361835,331651842,ChaChaChuli
154628162,1972296673,_amandagabri
154628162,249342016,RicaBrownell
154628162,249342016,RicaBrownell
154628162,426422223,Partyprobs
154628162,249342016,RicaBrownell
154628162,81506959,a_korosi
154628162,2678549444,THENEXTKAGE
154628162,2786430025,opnspirits
154628162,24836075,BOSSSHlTONLY
154628162,1901273544,KardashianReact
200977178,115840094,thugliest
200977178,314472026,VirgoQuotez
200977178,204887235,FemaleTexts
200977178,1666663362,SaraiSociety
200977178,314472026,VirgoQuotez
200977178,334334803,LastNameJimenez
200977178,2350941582,_JohnIsDead_
200977178,482578441,ArroyoJeremy_
200977178,2576534977,sensualgifs
200977178,1884457788,Kshantal_1_k
200977178,579119181,Lil_Adisyn
465213638,498166810,dat_gemini_life
465213638,724223456,_CollegeHumor_
465213638,1463880866,RealTouchingPic
921152618,96483973,_kosher
31637278,219174726,BelleDamex3
31637278,289463987,AlexaDntCare
31637278,360820299,DJCHUBBY_STYLES
31637278,39075107,_LULU_ZCG
31637278,75860429,HellaKev
31637278,31637278,RogerSaid
31637278,2468529458,Somefancyshit
31637278,2331366756,_Nostylegia
31637278,39075107,_LULU_ZCG
31637278,38573023,DJ_CHICHI
31637278,1500257282,majesticrosess
31637278,577763376,Kapox_
31637278,215127127,DJUNDERGROUNDNY
31637278,218654245,ThankYouSAB_FW
31637278,215127127,DJUNDERGROUNDNY
31637278,215127127,DJUNDERGROUNDNY
31637278,29365013,Shmurda_Yo
193563712,35264124,aQi_belleEpoQue
193563712,123003486,Well_Damn_Jesse
193563712,36375662,Redskins
193563712,36375662,Redskins
193563712,36375662,Redskins
193563712,36375662,Redskins
193563712,92697736,usitthebench
66680616,258112995,brystvcks
66680616,561684253,HornyFacts
66680616,344402779,Asj_Uhh
66680616,344402779,Asj_Uhh
319016379,169719009,iadorewomen_
319016379,102862303,ComedyTruth
319016379,561684253,HornyFacts
319016379,630626839,haleslax
319016379,798234950,TheTumblrPosts
319016379,1107613844,WorldStarFunny
319016379,1247253666,_GEMINI_PRINCE
319016379,437180647,leeann_baxley
22107297,44343695,JaeMurphy
22107297,39779350,103JAMZRADIO
22107297,16827333,souljaboy
22107297,20962812,SoulSistaNokc
22107297,2587600736,MulahMani
22107297,22147031,DJZeeti
22107297,37296698,DREADS_GotU_WET
22107297,18038269,thefader
22107297,189183100,Stalley
22107297,149726145,rickyrozay
22107297,155260626,ChippyAV8
22107297,22147031,DJZeeti
22107297,60461101,rug__life
22107297,27547574,SingularNoun
161918484,61257026,taehamm
161918484,161918484,ChelseaCara23
161918484,61257026,taehamm
161918484,60835467,DustyMcFly41
161918484,60835467,DustyMcFly41
172088666,320582420,T_Rawww_24
172088666,411450172,nicolelker
172088666,250010945,_redrubybeauty
172088666,190141061,_Frisky_2Times
172088666,190141061,_Frisky_2Times
172088666,172088666,BridjetRussell
167884846,253009318,StinsonSayings
167884846,102325442,SteveStfler
167884846,2477664098,ThotSociety
167884846,589541833,Uglypeopleunite
167884846,30008146,tigers
167884846,253009318,StinsonSayings
167884846,833509435,samantha_ryan2
369326528,464267059,_silverunicornn
369326528,131752870,FactsAboutBoys
369326528,2779452545,MyReactionsGif
369326528,1209997460,TopSportsPlay
369326528,1432138212,BrosConfessions
369326528,16933337,FIirtations
369326528,2193607094,ChiIIVlbes
369326528,267636652,bigpimpin319
369326528,472967330,ComedyTextings
369326528,79303332,MakeItRainwater
369326528,369326528,GregoryBonomo
369326528,415208186,seanbaum22
599475685,617350116,Miron_1995
599475685,52746939,Scanlan93
599475685,351297907,CamGB01
599475685,351297907,CamGB01
599475685,1904546514,OllieSmith23
599475685,53667807,Alexb200
599475685,302104054,SiimonPeacock
599475685,993515064,KellyFDrew
599475685,1904546514,OllieSmith23
599475685,53667807,Alexb200
599475685,587830758,ComanMark
2221693144,22152013,Uni_of_Essex
2221693144,7400692,BritishRedCross
2221693144,17487733,macmillancancer
2221693144,7400692,BritishRedCross
2221693144,2221693144,Taracoumbe
2221693144,17487733,macmillancancer
2707678428,17852343,YahooMovies
2707678428,52845581,LisaFrank
2707678428,263070447,KigurumiShop
2718214807,2199576754,hurstiefowler
2718214807,2419715954,sofiaaaaaaacx
2718214807,5695632,BuzzFeed
2718214807,180949358,ConnorFranta
2718214807,393488321,LOHANTHONY
48621354,382457780,BlakkBauer
446781734,330419448,IrieIslandBoy95
446781734,2586286688,HudsonSeqouia
446781734,956110250,mmacyharper
446781734,2809924669,thatbitchnayyy
446781734,2809924669,thatbitchnayyy
446781734,618479019,0hh_Asiaaaaaa
446781734,338230035,KingShaquore
446781734,275660421,reddie2eat_
446781734,887720227,FrenchForPretty
2187432733,2154821396,BoomBeachGame
328575167,533599447,PartyBuzzers
328575167,386395952,naturale__
328575167,386395952,naturale__
328575167,27994125,_allhailChynn
328575167,262908947,_prettymulatta
328575167,434688883,E_sheDoes_it
328575167,328575167,lextasy412
328575167,27994125,_allhailChynn
328575167,262908947,_prettymulatta
328575167,328575167,lextasy412
328575167,434688883,E_sheDoes_it
328575167,27994125,_allhailChynn
328575167,262908947,_prettymulatta
328575167,328575167,lextasy412
328575167,434688883,E_sheDoes_it
328575167,27994125,_allhailChynn
328575167,328575167,lextasy412
328575167,262908947,_prettymulatta
328575167,328575167,lextasy412
328575167,262908947,_prettymulatta
328575167,268375972,FxckinHam
